CustomerID,Age,AnnualIncome,SpendingScore,cluster
1,57,64,37,2
2,47,120,46,3
3,61,112,21,1
4,51,117,22,3
5,59,57,53,2
6,56,18,72,2
7,61,89,78,1
8,44,40,19,0
9,19,62,18,0
10,40,50,25,0
11,34,141,74,3
12,18,105,52,3
13,51,32,3,0
14,63,101,94,1
15,49,103,24,3
16,25,136,4,3
17,21,98,9,0
18,39,115,7,3
19,63,139,42,1
20,49,132,98,1
21,27,117,12,3
22,41,99,51,3
23,25,97,79,3
24,60,84,70,1
25,20,35,36,0
26,48,56,63,2
27,68,145,89,1
28,61,131,85,1
29,44,86,53,3
30,40,62,20,0
31,43,31,86,2
32,68,73,81,1
33,45,26,30,2
34,41,139,57,3
35,43,49,47,2
36,68,70,51,2
37,27,79,71,3
38,67,23,20,2
39,18,46,14,0
40,51,41,23,2
41,39,63,72,2
42,24,118,30,3
43,33,22,87,2
44,59,30,70,2
45,28,67,9,0
46,50,127,3,3
47,69,133,23,1
48,23,123,98,3
49,68,65,22,2
50,27,99,47,3
51,58,80,91,1
52,27,59,38,0
53,55,111,69,1
54,49,112,52,1
55,39,16,75,2
56,60,148,49,1
57,67,81,43,2
58,55,28,86,2
59,27,69,30,0
60,35,146,78,3
61,33,79,12,0
62,51,36,89,2
63,33,133,15,3
64,62,141,93,1
65,22,81,73,3
66,24,87,84,3
67,62,43,27,2
68,69,127,57,1
69,44,145,4,3
70,21,115,40,3
71,33,32,12,0
72,18,55,23,0
73,20,111,43,3
74,42,62,71,2
75,19,130,1,3
76,69,95,50,1
77,37,32,17,0
78,28,145,12,3
79,34,109,77,3
80,57,36,87,2
81,46,109,36,3
82,28,58,55,0
83,44,46,93,2
84,40,63,91,1
85,43,80,63,1
86,35,79,10,0
87,38,141,97,1
88,56,52,27,2
89,37,136,59,3
90,21,26,10,0
91,40,26,86,2
92,20,60,50,0
93,66,45,39,2
94,54,52,20,2
95,26,129,55,3
96,68,21,50,2
97,31,93,13,0
98,20,41,49,0
99,44,61,89,1
100,57,95,7,2
101,69,129,18,1
102,48,71,21,2
103,60,45,41,2
104,18,148,6,3
105,24,20,84,0
106,50,32,93,2
107,53,127,53,1
108,22,58,14,0
109,23,48,58,0
110,61,139,82,1
111,34,134,82,3
112,22,51,9,0
113,49,102,12,3
114,29,22,38,0
115,28,68,60,3
116,66,40,40,2
117,23,101,67,3
118,50,19,71,2
119,38,31,55,2
120,51,45,12,2
121,26,81,73,3
122,69,100,29,2
123,19,44,22,0
124,18,69,87,3
125,33,133,66,3
126,34,74,58,3
127,29,52,21,0
128,58,51,83,2
129,47,68,95,1
130,43,98,1,0
131,42,143,22,3
132,57,101,65,1
133,45,25,6,0
134,30,96,23,3
135,29,86,70,3
136,58,26,51,2
137,39,118,88,1
138,52,108,67,1
139,49,72,44,2
140,53,53,79,2
141,38,97,65,3
142,31,47,26,0
143,52,51,54,2
144,38,111,78,3
145,45,50,4,0
146,23,98,72,3
147,55,82,73,1
148,18,24,55,0
149,29,48,89,2
150,24,34,2,0
151,53,76,94,1
152,37,94,59,3
153,47,91,63,1
154,58,138,99,1
155,39,147,27,3
156,41,100,96,1
157,26,148,50,3
158,67,141,2,1
159,19,62,74,3
160,25,32,3,0
161,55,82,95,1
162,36,132,13,3
163,34,45,77,2
164,26,65,20,0
165,55,86,2,2
166,20,33,28,0
167,38,48,74,2
168,26,61,31,0
169,59,44,62,2
170,60,110,81,1
171,29,97,91,3
172,63,35,2,2
173,38,149,66,3
174,45,22,12,0
175,32,54,42,0
176,38,35,30,0
177,54,117,73,1
178,66,70,7,2
179,25,119,79,3
180,19,120,39,3
181,31,106,32,3
182,50,142,86,1
183,54,55,27,2
184,52,123,99,1
185,24,22,89,0
186,42,64,14,0
187,49,124,75,1
188,21,134,96,3
189,22,97,13,0
190,66,77,89,1
191,52,82,66,1
192,55,101,48,1
193,30,93,87,3
194,34,91,30,3
195,60,89,31,2
196,68,122,67,1
197,27,129,87,3
198,46,26,8,0
199,49,131,22,3
200,23,23,37,0
