Compound ID,SMILES,measured log(solubility:mol/L),nBase,SpAbs_A,SpMax_A,SpMAD_A,VR1_A,nAromAtom,nSpiro,nBridgehead,nHetero,nN,nO,nS,nP,nF,nCl,nBr,nI,ATS0Z,AATS0dv,AATS0Z,AATS0se,AATS0i,ATSC2c,ATSC4c,ATSC5c,ATSC6c,ATSC7c,ATSC8c,ATSC1dv,ATSC2dv,ATSC3dv,ATSC4dv,ATSC5dv,ATSC6dv,ATSC7dv,ATSC8dv,ATSC2d,ATSC3d,ATSC4d,ATSC5d,ATSC6d,ATSC7d,ATSC8d,ATSC1Z,ATSC2Z,ATSC3Z,ATSC4Z,ATSC5Z,ATSC6Z,ATSC7Z,ATSC8Z,ATSC1v,ATSC2v,ATSC3v,ATSC4v,ATSC5v,ATSC6v,ATSC7v,ATSC8v,ATSC1se,ATSC3se,ATSC4se,ATSC5se,ATSC6se,ATSC7se,ATSC8se,ATSC1p,ATSC1i,ATSC2i,ATSC3i,ATSC5i,ATSC6i,ATSC7i,ATSC8i,AATSC1d,AATSC2Z,AATSC0v,AATSC0i,MATS1c,MATS1Z,MATS2Z,GATS2c,GATS1Z,GATS2Z,GATS2v,GATS1se,GATS2se,GATS2i,BCUTc-1l,BCUTdv-1l,BCUTd-1h,BCUTd-1l,BCUTZ-1l,BalabanJ,nBondsD,nBondsT,FPSA3,RNCG,RPCG,RNCS,RPCS,C2SP1,C1SP2,C3SP2,C1SP3,C2SP3,C3SP3,C4SP3,FCSP3,Xch-3d,Xch-4d,Xc-4d,Xc-4dv,NsCH3,NdCH2,NtCH,NdsCH,NsssCH,NaasC,NaaaC,NsNH2,NdNH,NssNH,NaaNH,NtN,NdsN,NaaN,NsssN,NddsN,NaasN,NsOH,NssO,NaaO,NsSH,NdS,NssS,NaaS,NdssS,NddssS,SsssCH,SdssC,SaasC,ETA_shape_y,ETA_beta_ns_d,AETA_eta,AETA_eta_RL,ETA_dEpsilon_D,ETA_dBeta,GeomShapeIndex,nHBDon,IC0,IC1,SIC0,SIC1,FilterItLogS,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,SMR_VSA6,SMR_VSA9,SlogP_VSA1,SlogP_VSA3,SlogP_VSA4,SlogP_VSA7,SlogP_VSA10,SlogP_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,VSA_EState1,VSA_EState4,VSA_EState5,VSA_EState9,AMID_O,PBF,n5Ring,n7Ring,n8Ring,nHRing,n3HRing,n5HRing,n5aRing,nAHRing,n5AHRing,n6AHRing,nFRing,n6FRing,n7FRing,n8FRing,n9FRing,n10FRing,n11FRing,n12FRing,nG12FRing,nFHRing,n10FHRing,n12FHRing,nG12FHRing,n9FaRing,nFaHRing,nG12FaHRing,nFARing,n9FARing,n10FARing,nFAHRing,n10FAHRing,nRot,JGI1,JGI2,JGI3,JGI4,JGI5,JGI6,JGI7,JGI8,JGI9,JGI10,Lipinski,GhoseFilter
"1,1,1,2-Tetrachloroethane",ClCC(Cl)(Cl)Cl,-2.18,0,5.8186258223528196,2.0743132930519432,0.9697709703921366,11.637366687675549,0,0,0,4,0,0,0,0,0,4,0,0,1230.0,2.8024691358024687,153.75,9.6025575,162.00771593701225,-0.011567545733012396,0.0,0.0,0.0,0.0,0.0,-2.908179012345678,-5.972222222222222,2.8587962962962954,0.0,0.0,0.0,0.0,0.0,-3.0,2.25,0.0,0.0,0.0,0.0,0.0,-18.0625,61.25,-237.9375,0.0,0.0,0.0,0.0,0.0,-7.930847344957391,84.3363617835726,-276.80162738559005,0.0,0.0,0.0,0.0,0.0,-0.10627600000000001,-0.673413,0.0,0.0,0.0,0.0,0.0,-1.7625303062505492e-05,-2.0684213973005523,-2.6252535160777466,1.6704963563315527,0.0,0.0,0.0,0.0,-0.4642857142857143,5.104166666666667,50.09902823674371,0.7557946392616867,-0.5032430977264907,-0.052998349532367504,0.10483525887890459,0.9533969835037899,0.6854942233632862,0.7832691484809585,0.7522525816071223,0.8213211306527347,0.8228853297737144,1.1282761223793976,-0.1889149308579256,0.7661792371048486,4.017022705437666,0.9866115722243104,5.897853755912471,3.168489872670569,0,0,0.007214983905526819,0.33075378875630396,0.5512522318445603,183.47870862171325,0.0,0,0,0,2,0,0,0,1.0,0.0,0.0,0.3535533905932738,0.5154323951168185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.9416839980112393,0.4267766952966369,0.0,-3.5,0.5878940312805981,0,1.5,1.75,0.5,0.5833333333333334,-2.790325882761411,0.0,0.0,0.0,11.600939890232516,34.802819670697545,0.0,0.0,5.880003444970339,0.0,0.0,3.792535935529771,0.0,5.880003444970339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.880003444970339,0.0,0.0,0.0,0.0,0.0,0.0,-1.2762345679012341,0.0,0.03935185185185208,0.0,0.0,0.6050604389203568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6000000000000001,0.09523809523809526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
"1,1,1-Trichloroethane",CC(Cl)(Cl)Cl,-2.0,0,4.0,2.0,0.8,7.999999999999998,0,0,0,3,0,0,0,0,0,3,0,0,942.0,2.351851851851852,117.75,8.932912375,164.10249396293085,0.0432309467487202,0.0,0.0,0.0,0.0,0.0,-1.256944444444444,-5.935185185185187,1.145833333333333,0.0,0.0,0.0,0.0,0.0,-1.6875,1.265625,0.0,0.0,0.0,0.0,0.0,-5.0625,377.25,-570.9375,0.0,0.0,0.0,0.0,0.0,-24.259843270614297,394.75225440166867,-616.3882248731175,0.0,0.0,0.0,0.0,0.0,-0.04649414062499989,-1.7078061093749999,0.0,0.0,0.0,0.0,0.0,-0.03420747349439074,-2.301447908493142,-2.471709649870684,1.4061165663128925,0.0,0.0,0.0,0.0,-0.5022321428571429,31.4375,61.47395343551575,0.8417602480127335,-1.0088821749463739,-0.014555256064690027,0.6327044025157232,0.4464363610640979,0.5509433962264151,0.3213836477987421,0.40676887215631563,0.6437757962950456,0.37553588117210995,1.0891094558241454,-0.19086949716762527,0.7684456142163838,4.0160633859300825,0.9869366140699166,5.888384302593728,3.0237157840738176,0,0,0.005850026531748581,0.31169039307650276,0.6951889990559648,196.81341596760905,0.0,0,0,0,2,0,0,0,1.0,0.0,0.0,0.5,0.7289314836606525,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.9134397077140337,0.4,0.0,-2.75,0.6741481219071014,0,1.561278124459133,1.811278124459133,0.5204260414863776,0.603759374819711,-2.1299107218088973,0.0,0.0,0.0,0.0,34.802819670697545,6.923737199690624,0.0,0.0,0.0,3.792535935529771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.923737199690624,0.0,0.0,0.0,-1.083333333333333,0.0,0.0,0.0,0.0,0.6786639094522033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
"1,1,2,2-Tetrachloroethane",ClC(Cl)C(Cl)Cl,-1.74,0,6.0,1.9999999999999996,0.9999999999999999,11.530009778701592,0,0,0,4,0,0,0,0,0,4,0,0,1230.0,2.552469135802469,153.75,9.6025575,162.00771593701225,-0.04436137291056581,0.0,0.0,0.0,0.0,0.0,-3.4637345679012346,-5.021604938271604,3.4637345679012337,0.0,0.0,0.0,0.0,0.0,-3.0,2.25,0.0,0.0,0.0,0.0,0.0,-18.0625,-194.75,18.0625,0.0,0.0,0.0,0.0,0.0,-7.930847344957389,-200.39611294697482,7.930847344957392,0.0,0.0,0.0,0.0,0.0,-0.10627600000000002,0.10627600000000002,0.0,0.0,0.0,0.0,0.0,-1.762530306250506e-05,-2.0684213973005523,-3.023178557046747,2.0684213973005523,0.0,0.0,0.0,0.0,-0.32142857142857145,-16.229166666666668,50.09902823674371,0.7557946392616867,-0.24298188994548206,-0.052998349532367504,-0.33333333333333337,1.1666666666666665,0.6854942233632862,1.1666666666666667,1.1666666666666665,0.8213211306527347,1.166666666666667,1.1666666666666665,-0.18529567350167148,0.7656446736937806,3.111685950670918,0.9865813897322375,5.8978594992110684,2.9934972434784735,0,0,0.010261745704791141,0.25,0.3354262337929164,244.11104121853614,3.662256211411036,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.3456790123456788,0.0,0.0,0.25925925925925924,0.0,0.8999870735113037,0.440455735015306,0.0,-3.5,0.6075592394150829,0,1.5,1.5,0.5,0.5,-2.433985882761411,0.0,0.0,0.0,46.40375956093006,0.0,0.0,0.0,0.0,9.67253938050011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6821216025061869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.4,0.14814814814814822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
"1,1,2-Trichloroethane",ClCC(Cl)Cl,-1.48,0,5.226251859505506,1.8477590650225737,1.0452503719011013,8.629874180987342,0,0,0,3,0,0,0,0,0,3,0,0,942.0,1.8518518518518519,117.75,8.932912375,164.10249396293085,-0.0234231409325074,0.0,0.0,0.0,0.0,0.0,-2.3680555555555554,-4.033950617283951,2.3557098765432096,0.0,0.0,0.0,0.0,0.0,-1.6875,1.265625,0.0,0.0,0.0,0.0,0.0,-5.0625,-134.75,-58.9375,0.0,0.0,0.0,0.0,0.0,-24.2598432706143,-174.71269505942615,-46.92327541202255,0.0,0.0,0.0,0.0,0.0,-0.046494140624999875,-0.14842810937500012,0.0,0.0,0.0,0.0,0.0,-0.0342074734943907,-2.3014479084931416,-3.267559731808684,2.201966648250892,0.0,0.0,0.0,0.0,-0.21651785714285715,-11.229166666666666,61.47395343551575,0.8417602480127335,-0.2265371287840767,-0.014555256064690027,-0.2259958071278826,1.0919961892035375,0.5509433962264151,1.0727463312368972,1.0822335783877388,0.6437757962950456,1.0787632460561603,1.1580491987952755,-0.1849592261034908,0.7660906123802345,3.021852894878088,0.9864005858503974,5.898393110845595,2.5395388613593908,0,0,0.012196438374413263,0.37291689693796265,0.36404985159066194,178.62809423778015,0.9084678945940774,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.40586419753086433,0.0,0.0,0.1590909090909091,0.0,0.7763281536020702,0.4540111220059324,0.0,-2.75,0.5844949292204563,0,1.561278124459133,1.811278124459133,0.5204260414863776,0.603759374819711,-2.1473707218088975,0.0,0.0,0.0,34.802819670697545,0.0,0.0,0.0,5.880003444970339,4.836269690250055,0.0,0.0,0.0,5.880003444970339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.880003444970339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30864197530864224,0.0,0.0,0.5505408240304863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.375,0.11111111111111116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
"1,1,2-Trichlorotrifluoroethane",FC(F)(Cl)C(F)(Cl)Cl,-3.04,0,7.211102550927979,2.302775637731993,0.9013878188659974,17.881697331994086,0,0,0,6,0,0,0,0,3,3,0,0,1182.0,22.60185185185185,147.75,12.413488375,208.59110939383748,-0.18177684140766381,0.0,0.0,0.0,0.0,0.0,-0.006944444444444586,-19.367283950617285,-9.672067901234568,0.0,0.0,0.0,0.0,0.0,-6.75,5.0625,0.0,0.0,0.0,0.0,0.0,-27.5625,-68.75,11.5625,0.0,0.0,0.0,0.0,0.0,-4.106651517907604,-47.277414469556845,-16.794288038265766,0.0,0.0,0.0,0.0,0.0,-0.5529781406249993,0.48407189062499933,0.0,0.0,0.0,0.0,0.0,-0.051132515624999875,-8.709500282189047,-21.536936907368737,3.747365349964051,0.0,0.0,0.0,0.0,-0.7232142857142857,-5.729166666666667,17.04458850643255,6.624767959898433,-0.40348428584832424,-0.18584070796460178,-0.2704031465093412,1.1593367181336038,1.1504424778761062,1.1116027531956736,1.0772525489798432,1.67153539105611,1.145377293864748,1.112050061074096,-0.23518055257119988,0.7706291197175476,4.111897079002005,0.9867651470618464,5.892648752777991,4.020391543176799,0,0,0.0,0.2777515649885069,0.5332215075648326,123.63804965609246,0.0,0,0,0,2,0,0,0,1.0,0.0,0.0,0.5,0.16198477414681167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.875353126733349,0.40625,0.0,-5.0,0.4580951228430762,0,1.561278124459133,1.811278124459133,0.5204260414863776,0.603759374819711,-2.664600442853576,0.0,0.0,13.171245143024459,0.0,23.20187978046503,11.600939890232516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.171245143024459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.802819670697545,30.570216049382715,0.0,0.0,0.0,0.0,0.6690349508135565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.6428571428571428,0.16666666666666669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
"1,1-Dichloroethane",CC(Cl)Cl,-1.29,0,3.4641016151377544,1.7320508075688772,0.8660254037844386,5.583629154612597,0,0,0,2,0,0,0,0,0,2,0,0,654.0,1.4012345679012346,81.75,8.26326725,166.19727198884948,0.01280564505497126,0.0,0.0,0.0,0.0,0.0,-1.1489197530864195,-3.626543209876542,1.0995370370370368,0.0,0.0,0.0,0.0,0.0,-0.75,0.5625,0.0,0.0,0.0,0.0,0.0,-0.0625,85.25,-255.9375,0.0,0.0,0.0,0.0,0.0,-49.48672903160083,28.928519534714653,-235.2457456989466,0.0,0.0,0.0,0.0,0.0,-0.011077562499999881,-0.7686114375000002,0.0,0.0,0.0,0.0,0.0,-0.1399534287122499,-2.546909577215997,-3.2632377559649965,2.1489845362469975,0.0,0.0,0.0,0.0,-0.22321428571428573,7.104166666666667,63.95098879895819,0.915290699233499,-0.6112218637562631,-0.00020916126333403052,0.16642264519277697,0.6910226798014666,0.5007320644216691,0.7293801854563202,0.8420158154598024,0.5414453214332648,0.7412548854180355,1.1349659538822423,-0.18463358429874296,0.767764316644941,3.0180058996879042,0.9839941003120974,5.888925413150652,2.3237900077244498,0,0,0.012688921423167129,0.42949945016953883,0.4249604490181807,153.73252841802503,2.279175411937812,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.22222222222222232,0.0,0.0,0.20588235294117646,0.0,0.7319976555218857,0.4330127018922193,0.0,-2.0,0.6606994515780544,0,1.5,1.75,0.5,0.5833333333333334,-1.4665640277364673,0.0,0.0,0.0,23.20187978046503,0.0,6.923737199690624,0.0,0.0,4.836269690250055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.836269690250055,0.0,0.0,0.0,6.923737199690624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5645555584730498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
"1,1-Dichloroethylene",ClC(=C)Cl,-1.64,0,3.4641016151377544,1.7320508075688772,0.8660254037844386,5.583629154612597,0,0,0,2,0,0,0,0,0,2,0,0,652.0,3.5349794238683123,108.66666666666667,8.778201666666666,159.957145310383,0.029270129511956282,0.0,0.0,0.0,0.0,0.0,-2.4746227709190673,-5.79835390946502,2.425240054869685,0.0,0.0,0.0,0.0,0.0,-0.6666666666666667,0.44444444444444425,0.0,0.0,0.0,0.0,0.0,-4.0,122.0,-252.0,0.0,0.0,0.0,0.0,0.0,-19.168271226164393,113.61383052602709,-265.56420350438304,0.0,0.0,0.0,0.0,0.0,-0.03673611111111102,-0.742952888888889,0.0,0.0,0.0,0.0,0.0,-0.02702812720544437,-1.8184279770809884,-2.528679445136997,1.4205029361119885,0.0,0.0,0.0,0.0,-0.28888888888888886,20.333333333333332,57.039548068173445,0.9755348287019988,-1.107586132016445,-0.01791044776119403,0.4552238805970149,0.04953705129932863,0.5447761194029851,0.4539800995024875,0.5566884576532071,0.6238438741248055,0.5198698951040045,1.1933465980145619,-0.22281851304450362,0.7712203436803488,3.0336137565055337,0.9680684490343203,5.788937564902143,2.3237900077244498,1,0,0.012606007703676323,0.337953349194981,0.4684429275844422,208.94497917113173,13.515138919476048,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.1111111111111116,0.0,0.20588235294117646,0.0,0.5180369948236496,0.4330127018922193,0.0,-1.0,0.733381728217796,0,1.584962500721156,1.9182958340544896,0.6131471927654584,0.7420981285103057,-1.4734632354264896,0.0,0.0,0.0,0.0,29.78081546406353,0.0,0.0,4.491468174157927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.491468174157927,0.0,0.0,0.0,0.0,0.0,6.578935683598497,0.1111111111111116,0.0,0.0,0.0,0.0,1.7348379891346757e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
"1,1-Diethoxyethane ",CCOC(C)OCC,-0.43,0,8.828427124746192,2.0000000000000004,1.103553390593274,21.904302963408274,0,0,0,2,0,2,0,0,0,0,0,0,358.0,4.181818181818182,16.272727272727273,7.545682909090913,169.1143562038403,0.05549140345791955,-0.005675144300844105,-0.023033885018284087,0.025148073252667644,0.010893843767893338,0.005799502956959808,24.0,-2.0,-45.0,-33.0,-16.0,16.0,12.0,9.0,-0.3553719008264461,-3.8264462809917354,-3.7851239669421486,-0.14876033057851254,0.818181818181818,1.3388429752066116,0.6694214876033058,3.0,3.0,-30.0,-75.0,-66.0,37.0,12.0,36.0,-219.9866472184262,-161.75499769153186,308.3758271776575,-489.45209405394496,-279.01065041174047,138.45223676146364,-6.990828279020576,218.08056035915348,0.027826611570249224,-1.2307109421487556,-0.4442635041322301,-0.45591623140495985,0.4011138181818133,0.21749117355371628,0.1727535867768578,-1.7597950374016555,-10.924615675681888,-6.443666742106686,13.931609161156793,-1.7444267353534513,0.9690831692217585,-1.642375071865465,3.6392381264889155,0.10035419126328217,0.07894736842105263,44.753326668762675,1.086651344512991,-0.44346015125051186,0.019642857142857142,0.010855263157894736,1.4460178455652617,1.14375,1.1398026315789473,1.0637190449989942,0.9186325547084131,1.4540889258444853,1.1416683093527504,-0.4029731649203665,0.9872344201224296,3.025752007215498,0.9871447154965199,5.882831702857025,2.919612641438553,0,0,0.02829399283624454,0.43999927492393937,0.19213003333900966,20.24518226420539,0.0,0,0,0,6,0,0,0,1.0,0.0,0.0,0.0,0.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,-0.037037037037037424,0.0,0.0,0.13636363636363638,0.0,0.8014789237666364,0.47600755156130586,0.0,-4.5,0.7604011565471022,0,1.2406705316766884,1.6386199635932095,0.2782127046172332,0.36745040707540555,-1.32901139470886,0.0,0.0,0.0,0.0,0.0,20.771211599071872,13.213763929025836,0.0,0.0,6.290026729335213,0.0,0.0,13.213763929025836,0.0,0.0,9.473725907600098,0.0,0.0,0.0,0.0,6.290026729335213,0.0,13.213763929025836,0.0,0.0,20.771211599071872,0.0,10.120000000000001,0.0,0.0,0.0,0.4758036883189415,0.6415137001183454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.21428571428571425,0.09523809523809526,0.0625,0.016000000000000004,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,1,0
"1,2,3,4-Tetrachlorobenzene",Clc1ccc(Cl)c(Cl)c1Cl,-4.57,0,12.250296206660071,2.3180135147325034,1.2250296206660072,31.02024514324735,6,0,0,4,0,0,0,0,0,4,0,0,1374.0,7.034979423868312,114.5,8.915210333333333,150.26992932134152,-0.028207858474331205,-0.0009004100283828212,-0.003530446699912532,0.0,0.0,0.0,1.370370370370362,-15.014403292181079,-8.601851851851848,-0.9218106995884687,7.231481481481486,0.0,0.0,0.0,-4.833333333333332,-2.416666666666667,-6.661338147750939e-16,2.083333333333333,0.0,0.0,0.0,2.842170943040401e-14,-48.16666666666666,61.25,-170.66666666666669,-61.250000000000014,0.0,0.0,0.0,6.394884621840902e-14,-21.148926253219688,84.33636178357258,-189.82164982036502,-84.33636178357263,0.0,0.0,0.0,2.7755575615628914e-17,0.11819499999999994,-0.5197926666666667,-0.11819499999999997,0.0,0.0,0.0,-3.469446951953614e-18,1.3877787807814457e-14,-5.51579039280148,-2.6252535160777537,2.62525351607774,0.0,0.0,0.0,0.027777777777777835,-2.6759259259259256,35.161762678930785,0.9635122922412488,-0.26482826363663325,6.493916853862301e-17,-0.07336887534907335,1.1512385377817598,0.5592155369383092,0.7456207159177456,0.6723724683200148,0.6200535071169904,0.8267380094893205,1.1941794024628327,-0.28403291051716195,0.7727936668019877,3.255814361214218,0.9922421400460825,5.700297603665443,2.515835979311492,0,0,0.012354706569903227,0.2024991002226271,0.19433174991076116,310.7683161144132,28.44556095100714,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.4294444444444465,0.3414634146341463,2.0,0.572415590166779,0.46258976576862293,0.0,2.0,0.5790732321349482,0,1.4591479170272446,1.9182958340544896,0.40701901811629,0.5350950905814503,-4.565661576512394,0.0,0.0,0.0,0.0,46.40375956093006,12.13273413692322,0.0,20.090533254965305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.090533254965305,0.0,0.0,0.0,20.090533254965305,0.0,0.0,12.13273413692322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.409434971778653e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.14285714285714288,0.062499999999999986,0.0874074074074074,0.0,0.0,0.0,0.0,0.0,0.0,1,0
"1,2,3,4-Tetrahydronapthalene",C1CCc2ccccc2C1,-4.37,0,13.683238505927562,2.302775637731995,1.3683238505927562,36.76857029015852,6,0,0,0,0,0,0,0,0,0,0,0,372.0,3.8181818181818183,16.90909090909091,7.092124000000002,158.49797205413583,-0.014151542491966807,-0.018127179460410328,-1.2167130060303233e-05,0.008572571985371218,0.006726621050329996,0.0,15.16528925619835,-2.3305785123966904,-19.760330578512402,-30.644628099173556,-1.8842975206611574,8.793388429752065,6.479338842975206,0.0,-1.5041322314049579,-5.223140495867768,-5.305785123966942,1.0082644628099167,2.0826446280991733,1.190082644628099,0.0,7.438016528925605,-23.96694214876035,-19.214876033057855,-69.00826446280992,-8.884297520661143,24.793388429752074,20.661157024793393,0.0,66.98005689100813,-215.82462775991627,-173.03181363510507,-621.4260833776888,-80.00395684203764,223.26685630336146,186.0557135861345,0.0,0.0070560000000011325,-0.018227999999999786,-0.06546400000000022,-0.008428000000001,0.023519999999999076,0.019599999999999663,0.0,0.29943201863276625,1.626519477555028,-5.241007205455281,-4.201841983683946,-1.942787153746298,5.421731591850277,4.518109659875214,0.0,0.13151275601868487,-0.5706414797323893,55.81671407584033,1.35543289796256,0.04276613497740409,0.05217391304347816,-0.09206349206349214,1.0704189063138454,1.0043478260869563,1.0999999999999999,1.1,1.0043478260869565,1.1,1.1000000000000008,-0.3305349822852342,1.8374334071944916,3.178641208010007,1.751756967318248,5.6869456455986205,1.9253677344386608,0,0,0.02968320737934183,0.12801265184645547,0.12924390948683465,125.48690988930585,137.89449826160052,0,0,2,0,4,0,0,0.4,0.0,0.0,0.0,0.0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,3.155092592592593,0.2,0.0,0.6413555620008358,0.49663264951887853,0.0,0.5,0.8373859674756245,0,0.9940302114769565,2.3685225277282065,0.22290513600939796,0.5311265493632514,-2.8650866200199516,0.0,0.0,0.0,0.0,24.26546827384644,36.81018947509803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.841643245852019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.683286491704038,11.126902983393991,0.0,24.26546827384644,0.0,3.155092592592593,0.0,0.0,0.0,0.4341961317673109,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.09090909090909091,0.0634920634920635,0.020833333333333332,0.0474074074074074,0.0,0.0,0.0,0.0,0.0,0.0,1,0
