,survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone,age_imputed,embarked_imputed,family_size
count,891.0,891.0,891,714.0,891.0,891.0,891.0,889,891,891,891,203,889,891,891,891.0,891,891.0
unique,,,2,,,,,3,3,3,2,7,3,2,2,,3,
top,,,male,,,,,S,Third,man,True,C,Southampton,no,True,,S,
freq,,,577,,,,,644,491,537,537,59,644,549,537,,646,
mean,0.3838383838383838,2.308641975308642,,29.69911764705882,0.5230078563411896,0.38159371492704824,32.204207968574636,,,,,,,,,29.36158249158249,,0.9046015712682379
std,0.4865924542648585,0.8360712409770513,,14.526497332334044,1.1027434322934275,0.8060572211299559,49.693428597180905,,,,,,,,,13.019696550973194,,1.6134585413550788
min,0.0,1.0,,0.42,0.0,0.0,0.0,,,,,,,,,0.42,,0.0
25%,0.0,2.0,,20.125,0.0,0.0,7.9104,,,,,,,,,22.0,,0.0
50%,0.0,3.0,,28.0,0.0,0.0,14.4542,,,,,,,,,28.0,,0.0
75%,1.0,3.0,,38.0,1.0,0.0,31.0,,,,,,,,,35.0,,1.0
max,1.0,3.0,,80.0,8.0,6.0,512.3292,,,,,,,,,80.0,,10.0
